Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter
5043;Røyrvik;Røyrvik;Trøndelag;Røyrvik, Røyrvik, Trøndelag
5044;Namsskogan;Namsskogan;Trøndelag;Namsskogan, Namsskogan, Trøndelag
5046;Høylandet;Høylandet;Trøndelag;Høylandet, Høylandet, Trøndelag
5049;Flatanger;Lauvsnes;Trøndelag;Lauvsnes, Flatanger, Trøndelag
5047;Overhalla;Ranemsletta;Trøndelag;Ranemsletta, Overhalla, Trøndelag
5045;Grong;Grong;Trøndelag;Grong, Grong, Trøndelag
5007;Namsos;Namsos;Trøndelag;Namsos, Namsos, Trøndelag
5042;Lierne;Lierne;Trøndelag;Lierne, Lierne, Trøndelag
5020;Osen;Steinsdalen;Trøndelag;Steinsdalen, Osen, Trøndelag
5041;Snåsa;Snåsa;Trøndelag;Snåsa, Snåsa, Trøndelag
5052;Leka;Leknes;Trøndelag;Leknes, Leka, Trøndelag
5006;Steinkjer;Steinkjer;Trøndelag;Steinkjer, Steinkjer, Trøndelag
3414;Nord-Odal;Sand;Innlandet;Sand, Nord-Odal, Innlandet
5038;Verdal;Verdalsøra;Trøndelag;Verdalsøra, Verdal, Trøndelag
5014;Frøya;Sistranda;Trøndelag;Sistranda, Frøya, Trøndelag
5057;Ørland;Brekstad;Trøndelag;Brekstad, Ørland, Trøndelag
5037;Levanger;Levanger;Trøndelag;Levanger, Levanger, Trøndelag
5054;Indre Fosen;Årnset;Trøndelag;Årnset, Indre Fosen, Trøndelag
5036;Frosta;Frosta;Trøndelag;Frosta, Frosta, Trøndelag
5056;Hitra;Fillan;Trøndelag;Fillan, Hitra, Trøndelag
5035;Stjørdal;Stjørdalshalsen;Trøndelag;Stjørdalshalsen, Stjørdal, Trøndelag
5034;Meråker;Midtbygda;Trøndelag;Midtbygda, Meråker, Trøndelag
5031;Malvik;Hommelvik;Trøndelag;Hommelvik, Malvik, Trøndelag
1573;Smøla;Hopen;Møre og Romsdal;Hopen, Smøla, Møre og Romsdal
5001;Trondheim;Trondheim;Trøndelag;Trondheim, Trondheim, Trøndelag
5029;Skaun;Børsa;Trøndelag;Børsa, Skaun, Trøndelag
5059;Orkland;Orkanger;Trøndelag;Orkanger, Orkland, Trøndelag
1134;Suldal;Sand;Rogaland;Sand, Suldal, Rogaland
5055;Heim;Kyrksæterøra;Trøndelag;Kyrksæterøra, Heim, Trøndelag
5032;Selbu;Mebond;Trøndelag;Mebond, Selbu, Trøndelag
