Nr [15][7];Kommunenavn;Admsenter;Fylke;Fulltadmsenter;lat;lng
3320;Flå;Flå;Buskerud;Flå, Flå, Buskerud;60.4302088;9.4619752
3446;Gran;Jaren;Innlandet;Jaren, Gran, Innlandet;60.3990561;10.5525322
4623;Samnanger;Tysse;Vestland;Tysse, Samnanger, Vestland;60.37745169999999;5.7629231
4601;Bergen;Bergen;Vestland;Bergen, Bergen, Vestland;60.39126279999999;5.3220544
3310;Hole;Vik;Buskerud;Vik, Hole, Buskerud;60.0773399;10.2811621
4622;Kvam;Norheimsund;Vestland;Norheimsund, Kvam, Vestland;60.3708869;6.145635
3240;Eidsvoll;Eidsvoll;Akershus;Eidsvoll, Eidsvoll, Akershus;60.33111570000001;11.2626149
3338;Nore og Uvdal;Rødberg;Buskerud;Rødberg, Nore og Uvdal, Buskerud;60.2672173;8.947213399999999
3234;Lunner;Roa;Akershus;Roa, Lunner, Akershus;60.2909255;10.615852
3236;Jevnaker;Jevnaker;Akershus;Jevnaker, Jevnaker, Akershus;60.2407558;10.3834786
3415;Sør-Odal;Skarnes;Innlandet;Skarnes, Sør-Odal, Innlandet;60.2528412;11.6797439
3238;Nannestad;Teigebyen;Akershus;Teigebyen, Nannestad, Akershus;60.2215473;11.0186684
3305;Ringerike;Hønefoss;Buskerud;Hønefoss, Ringerike, Buskerud;60.16822250000001;10.2564172
3401;Kongsvinger;Kongsvinger;Innlandet;Kongsvinger, Kongsvinger, Innlandet;60.192443;11.9986692
3332;Sigdal;Prestfoss;Buskerud;Prestfoss, Sigdal, Buskerud;60.0425025;9.6345225
4624;Bjørnafjorden;Osøyro;Vestland;Osøyro, Bjørnafjorden, Vestland;60.18471659999999;5.469273400000001
3318;Krødsherad;Noresund;Buskerud;Noresund, Krødsherad, Buskerud;60.1803077;9.623098899999999
3209;Ullensaker;Jessheim;Akershus;Jessheim, Ullensaker, Akershus;60.14758189999999;11.169393
5058;Åfjord;Årnes;Trøndelag;Årnes, Åfjord, Trøndelag;63.960601;10.2247657
4618;Ullensvang;Kinsarvik;Vestland;Kinsarvik, Ullensvang, Vestland;60.3756655;6.7225392
3230;Gjerdrum;Ask;Akershus;Ask, Gjerdrum, Akershus;60.07165739999999;11.0345246
3228;Nes;Årnes;Akershus;Årnes, Nes, Akershus;60.12105010000001;11.4663429
4625;Austevoll;Storebø;Vestland;Storebø, Austevoll, Vestland;60.1003406;5.2240163
3232;Nittedal;Rotnes;Akershus;Rotnes, Nittedal, Akershus;60.05321619999999;10.8702921
3336;Rollag;Rollag;Buskerud;Rollag, Rollag, Buskerud;59.9852113;9.3028288
4616;Tysnes;Uggdal;Vestland;Uggdal, Tysnes, Vestland;60.0091729;5.4999136
3416;Eidskog;Skotterud;Innlandet;Skotterud, Eidskog, Innlandet;59.982812;12.1282523
3205;Lillestrøm;Lillestrøm;Akershus;Lillestrøm, Lillestrøm, Akershus;59.9559696;11.0503785
3316;Modum;Vikersund;Buskerud;Vikersund, Modum, Buskerud;59.965984;9.9949741
4026;Tinn;Rjukan;Telemark;Rjukan, Tinn, Telemark;59.87924270000001;8.6117346
3222;Lørenskog;Solheim;Akershus;Solheim, Lørenskog, Akershus;59.924089;10.9554452
3224;Rælingen;Fjerdingby;Akershus;Fjerdingby, Rælingen, Akershus;59.9216918;11.0737051
3201;Bærum;Sandvika;Akershus;Sandvika, Bærum, Akershus;59.8909053;10.5277867
301;Oslo;Oslo;Oslo;Oslo, Oslo, Oslo;59.9138688;10.7522454
4615;Fitjar;Fitjar;Vestland;Fitjar, Fitjar, Vestland;59.9177362;5.317097599999999
4617;Kvinnherad;Rosendal;Vestland;Rosendal, Kvinnherad, Vestland;59.9858956;6.0115683
3226;Aurskog-Høland;Bjørkelangen;Akershus;Bjørkelangen, Aurskog-Høland, Akershus;59.8835499;11.5661052
3334;Flesberg;Lampeland;Buskerud;Lampeland, Flesberg, Buskerud;59.83485810000001;9.5791209
3212;Nesodden;Nesoddtangen;Akershus;Nesoddtangen, Nesodden, Akershus;59.8661741;10.6623629
3312;Lier;Lierbyen;Buskerud;Lierbyen, Lier, Buskerud;59.7873115;10.2457255
4614;Stord;Leirvik;Vestland;Leirvik, Stord, Vestland;59.7806971;5.500206500000001
3220;Enebakk;Kirkebygda;Akershus;Kirkebygda, Enebakk, Akershus;59.76369709999999;11.1459829
3203;Asker;Asker;Akershus;Asker, Asker, Akershus;59.8346001;10.4365687
3314;Øvre Eiker;Hokksund;Buskerud;Hokksund, Øvre Eiker, Buskerud;59.7707469;9.910865099999999
3207;Nordre Follo;Ski;Akershus;Ski, Nordre Follo, Akershus;59.7196318;10.8358795
4613;Bømlo;Svortland;Vestland;Svortland, Bømlo, Vestland;59.79364859999999;5.1909714
3301;Drammen;Drammen;Buskerud;Drammen, Drammen, Buskerud;59.7440738;10.2044564
4036;Vinje;Åmot;Telemark;Åmot, Vinje, Telemark;59.57135710000001;7.987740199999999
4024;Hjartdal;Sauland;Telemark;Sauland, Hjartdal, Telemark;59.616097;8.9375518
4611;Etne;Etnesjøen;Vestland;Etnesjøen, Etne, Vestland;59.66534619999999;5.9371947
